R,G,B,Openness,Width,Label
140,92,80,0.001,0.0152,0
122,78,69,0.0012,0.0154,0
97,61,46,0.0012,0.015,0
86,51,40,0.0013,0.0153,0
79,48,39,0.0012,0.0152,0
81,49,38,0.0013,0.0152,0
81,50,42,0.0013,0.0154,0
80,47,38,0.0013,0.0153,0
79,51,40,0.0008,0.0158,0
80,47,40,0.0012,0.0149,0
85,54,44,0.0014,0.0149,0
78,46,38,0.0015,0.0149,0
76,44,38,0.0016,0.0149,0
84,49,39,0.0014,0.0149,0
79,49,40,0.0016,0.0148,0
87,55,43,0.0012,0.0149,0
83,52,44,0.0015,0.0147,0
79,47,49,0.0021,0.0151,0
83,52,47,0.0021,0.0151,0
84,53,49,0.0018,0.0149,0
88,57,52,0.0017,0.0147,0
86,57,50,0.0015,0.0147,0
86,56,49,0.0015,0.0147,0
87,57,50,0.0015,0.0152,0
87,55,49,0.0016,0.0149,0
86,56,49,0.0015,0.0147,0
87,56,48,0.0016,0.0148,0
84,55,49,0.002,0.015,0
86,52,48,0.0019,0.015,0
86,56,48,0.0017,0.0148,0
82,52,47,0.0021,0.015,0
86,55,50,0.0018,0.0148,0
84,54,45,0.0015,0.015,0
83,54,49,0.0016,0.0148,0
87,61,48,0.0014,0.0146,0
87,59,46,0.0012,0.0148,0
91,61,52,0.0012,0.0149,0
